dataset,features_varied,metrics,numb_of_cfs,f1_score
Census,all,all,99,0.2585034013605442
Census,all,all,100,0.9637305699481865
Census,all,all,100,0.6206896551724138
Census,all,all,100,0.6306306306306306
Census,all,all,100,0.6713286713286712
Census,all,all,100,0.4999999999999999
Census,all,all,99,0.5714285714285715
Census,all,all,100,0.18803418803418803
Census,all,all,99,0.9795918367346939
Census,all,all,99,0.6210045662100457
Census,all,all,100,0.2585034013605442
Census,all,all,100,0.9637305699481865
Census,all,all,98,0.6206896551724138
Census,all,all,100,0.5925925925925927
Census,all,all,100,0.6713286713286712
Census,all,all,100,0.4999999999999999
Census,all,all,100,0.5714285714285715
Census,all,all,100,0.3458646616541353
Census,all,all,98,0.9795918367346939
Census,all,all,100,0.6210045662100457
Census,all,all,99,0.2585034013605442
Census,all,all,100,0.9637305699481865
Census,all,all,100,0.6206896551724138
Census,all,all,100,0.46875
Census,all,all,99,0.6713286713286712
Census,all,all,100,0.4999999999999999
Census,all,all,100,0.5401459854014599
Census,all,all,100,0.3384615384615385
Census,all,all,96,0.9847715736040609
Census,all,all,100,0.6210045662100457
Census,all,all,100,0.2585034013605442
Census,all,all,100,0.9637305699481865
Census,all,all,100,0.6206896551724138
Census,all,all,100,0.5384615384615384
Census,all,all,100,0.6713286713286712
Census,all,all,100,0.4999999999999999
Census,all,all,99,0.6040268456375839
Census,all,all,100,0.3458646616541353
Census,all,all,98,0.9949748743718593
Census,all,all,100,0.6210045662100457
Census,all,all,100,0.2585034013605442
